族語	中文翻譯	從語料庫移除	音檔
miakik	烤	保留	Sakizaya_A2-10-52.mp3
miala	拿著；拿取	保留	Sakizaya_A2-10-53.mp3
miasik	掃；打掃	保留	Sakizaya_A2-10-54.mp3
miawaw	喊；邀請；呼喊	保留	Sakizaya_A2-10-55.mp3
miazih	看	保留	Sakizaya_A2-10-56.mp3
mibaesing	打噴嚏	保留	Sakizaya_A2-10-58.mp3
mibakah	丟棄	保留	Sakizaya_A2-10-59.mp3
mibanaw	洗	保留	Sakizaya_A2-10-60.mp3
mibelsiw	砍草	保留	Sakizaya_A2-10-61.mp3
mibelut; milaliw	逃跑	保留	Sakizaya_A2-10-62.mp3
mibidah	剝樹皮；剝果皮	保留	Sakizaya_A2-10-63.mp3
mibulsak	播種	保留	Sakizaya_A2-10-65.mp3
micakay	買	保留	Sakizaya_A2-10-67.mp3
micaliw	借出	保留	Sakizaya_A2-10-68.mp3
micaliway	經過	保留	Sakizaya_A2-10-69.mp3
micikcik	切（菜、肉）	保留	Sakizaya_A2-10-70.mp3
micucuk	刺（以銳器）	保留	Sakizaya_A2-10-71.mp3
micudad	讀書	保留	Sakizaya_A2-10-72.mp3
micudaday	學生	保留	Sakizaya_A2-10-73.mp3
micuzuh	推	保留	Sakizaya_A2-10-74.mp3
midang	玩；玩耍	保留	Sakizaya_A2-10-76.mp3
midanguy	游泳	保留	Sakizaya_A2-10-77.mp3
midimut	藏起來	保留	Sakizaya_A2-10-78.mp3
midiput	照顧；看護	保留	Sakizaya_A2-10-79.mp3
midisdis	削（竹子）	保留	Sakizaya_A2-10-80.mp3
miduduc	模仿	保留	Sakizaya_A2-10-81.mp3
miedap	幫忙	保留	Sakizaya_A2-10-82.mp3
mienuc	吞下	保留	Sakizaya_A2-10-83.mp3
mihalhal	等待；迎接	保留	Sakizaya_A2-10-84.mp3
mihca	年	保留	Sakizaya_A2-10-85.mp3
mihemek	踩踏	保留	Sakizaya_A2-10-86.mp3
mihuwad	抬著	保留	Sakizaya_A2-10-87.mp3
mihuyahuy	搖動	保留	Sakizaya_A2-10-88.mp3
mikacaw	爬；爬樹	保留	Sakizaya_A2-10-89.mp3
mikalat	咬	保留	Sakizaya_A2-10-90.mp3
mikayakay	爬山；爬（植物攀爬）	保留	Sakizaya_A2-10-91.mp3
mikelid	帶走；攜帶；提著	保留	Sakizaya_A2-10-92.mp3
mikemet	閉（眼睛）	保留	Sakizaya_A2-10-93.mp3
mikidis	磨利	保留	Sakizaya_A2-10-94.mp3
mikilim	尋找	保留	Sakizaya_A2-10-95.mp3
mikitin	牽手	保留	Sakizaya_A2-10-96.mp3
mikulikulin	滾落	保留	Sakizaya_A2-10-97.mp3
mikuskus	抓癢	保留	Sakizaya_A2-10-98.mp3
mikutkut	挖掘	保留	Sakizaya_A2-10-99.mp3
milamec	掐	保留	Sakizaya_A2-10-100.mp3
