族語	中文翻譯	從語料庫移除	覆寫音檔網址	音檔網址
ita	不要；別	保留		http://ilrdc.tw/grammar/sound/5/A2-9-4.mp3
iyu	藥	保留		http://ilrdc.tw/grammar/sound/5/A2-9-5.mp3
kadi	網子	保留		http://ilrdc.tw/grammar/sound/5/A2-9-6.mp3
kagun / kawin	鐮刀	保留		http://ilrdc.tw/grammar/sound/5/A2-9-7.mp3
kanna / kana	全部	保留		http://ilrdc.tw/grammar/sound/5/A2-9-8.mp3
karac	天空；天候	保留		http://ilrdc.tw/grammar/sound/5/A2-9-9.mp3
karang	螃蟹	保留		http://ilrdc.tw/grammar/sound/5/A2-9-10.mp3
kari	語言；話語；故事	保留		http://ilrdc.tw/grammar/sound/5/A2-9-11.mp3
kawas	年；明年	保留		http://ilrdc.tw/grammar/sound/5/A2-9-12.mp3
kbekuy	百	保留		http://ilrdc.tw/grammar/sound/5/A2-9-13.mp3
kdiye	蟬	保留		http://ilrdc.tw/grammar/sound/5/A2-9-14.mp3
kduruk	額頭	保留		http://ilrdc.tw/grammar/sound/5/A2-9-15.mp3
keeman	晚上	保留		http://ilrdc.tw/grammar/sound/5/A2-9-16.mp3
keguy	苧麻	保留		http://ilrdc.tw/grammar/sound/5/A2-9-17.mp3
kehing; wawa baga	手指	保留		http://ilrdc.tw/grammar/sound/5/A2-9-18.mp3
kenan	我	保留		http://ilrdc.tw/grammar/sound/5/A2-9-19.mp3
kenu	哪一個	保留		http://ilrdc.tw/grammar/sound/5/A2-9-20.mp3
Kihilang	客家人	保留		http://ilrdc.tw/grammar/sound/5/A2-9-21.mp3
kingal	一	保留		http://ilrdc.tw/grammar/sound/5/A2-9-22.mp3
kiya / kii	那個；那樣；正是	保留		http://ilrdc.tw/grammar/sound/5/A2-9-23.mp3
kiya ka / kika	所以；因此	保留		http://ilrdc.tw/grammar/sound/5/A2-9-24.mp3
klaali	天天；經常	保留		http://ilrdc.tw/grammar/sound/5/A2-9-25.mp3
klabuy	紙張	保留		http://ilrdc.tw/grammar/sound/5/A2-9-26.mp3
Klmukan	平地人；漢人；閩南人	保留		http://ilrdc.tw/grammar/sound/5/A2-9-27.mp3
kmaguh	抓癢	保留		http://ilrdc.tw/grammar/sound/5/A2-9-28.mp3
kmari	挖掘；挖洞	保留		http://ilrdc.tw/grammar/sound/5/A2-9-29.mp3
kmaro	清理；整理	保留		http://ilrdc.tw/grammar/sound/5/A2-9-30.mp3
kmayak	切（肉、瓜果）	保留		http://ilrdc.tw/grammar/sound/5/A2-9-31.mp3
kmbarux	借（借入、借出）	保留		http://ilrdc.tw/grammar/sound/5/A2-9-32.mp3
kmeeki	跳舞	保留		http://ilrdc.tw/grammar/sound/5/A2-9-33.mp3
kmekul	能夠	保留		http://ilrdc.tw/grammar/sound/5/A2-9-34.mp3
kmeruc	切（菜）；鋸	保留		http://ilrdc.tw/grammar/sound/5/A2-9-35.mp3
